Identification :	anonyme	 Operateur : 	Régis	 Id tablette : 	612374849	 Id Curseur : 	 ??? 
2019-02-20	 11-46-09
Fichier origine : 	C:\Users\utilisateur\Desktop\lettre a ecriture normale
Nb segments :	1
Seg	 Num	 X /100 mm	 Y /100 mm	 Interv ms	 Time ms	 Tip 	P	 Az 	 Al
0	131	16773	7923	7	1000	1	579	123	52
0	132	16818	7810	8	1008	1	579	122	53
0	133	16872	7718	7	1015	1	577	122	53
0	134	16929	7647	8	1023	1	577	121	53
0	135	16989	7596	7	1030	1	576	121	53
0	136	17048	7564	8	1038	1	573	121	53
0	137	17106	7553	7	1045	1	570	121	53
0	138	17165	7553	8	1053	1	568	119	53
0	139	17228	7585	7	1060	1	566	119	53
0	140	17293	7642	8	1068	1	564	120	54
0	141	17361	7722	7	1075	1	560	120	54
0	142	17429	7824	8	1083	1	559	120	54
0	143	17495	7945	7	1090	1	556	120	54
0	144	17560	8082	8	1098	1	556	121	55
0	145	17622	8231	7	1105	1	555	121	55
0	146	17680	8385	8	1113	1	553	121	55
0	147	17734	8545	7	1120	1	548	121	55
0	148	17782	8701	8	1128	1	546	122	56
0	149	17824	8845	7	1135	1	541	122	56
0	150	17860	8971	8	1143	1	542	124	55
0	151	17885	9064	7	1150	1	545	124	55
0	152	17901	9123	8	1158	1	547	125	55
0	153	17907	9153	7	1165	1	563	125	55
0	154	17907	9157	8	1173	1	584	125	55
0	155	17904	9154	7	1180	1	591	126	54
0	156	17883	9117	8	1188	1	595	126	54
0	157	17860	9057	7	1195	1	619	126	54
0	158	17841	8976	8	1203	1	651	128	54
0	159	17831	8880	7	1210	1	673	129	55
0	160	17831	8776	8	1218	1	687	129	55
0	161	17831	8677	8	1226	1	705	129	55
0	162	17851	8588	7	1233	1	715	129	55
0	163	17887	8516	8	1241	1	709	129	55
0	164	17938	8466	7	1248	1	698	129	55
0	165	18008	8440	8	1256	1	652	127	55
0	166	18095	8440	7	1263	1	461	127	55
0	167	18095	8440	8	1271	0	0	127	55
0	168	18291	8568	7	1278	0	0	127	55
0	169	18398	8690	8	1286	0	0	126	56
0	170	18508	8829	7	1293	0	0	127	56
0	171	18624	8979	8	1301	0	0	126	58
0	172	18730	9129	7	1308	0	0	126	60
0	173	18730	9129	8	1316	0	0	126	60
