Identification :	anonyme	 Operateur : 	Régis	 Id tablette : 	612374849	 Id Curseur : 	 ??? 
2019-02-20	 11-46-09
Fichier origine : 	C:\Users\utilisateur\Desktop\lettre a ecriture normale
Nb segments :	1
Seg	 Num	 X /100 mm	 Y /100 mm	 Interv ms	 Time ms	 Tip 	P	 Az 	 Al
0	0	16193	9507	8	8	0	0	297	88
0	1	16193	9508	7	15	0	0	297	88
0	2	16193	9509	8	23	0	0	297	88
0	3	16193	9511	7	30	0	0	297	88
0	4	16193	9512	8	38	0	0	297	88
0	5	16196	9513	7	45	0	0	297	88
0	6	16201	9514	8	53	0	0	270	88
0	7	16211	9514	7	60	0	0	270	89
0	8	16216	9514	8	68	0	0	270	89
0	9	16224	9514	7	75	0	0	0	90
0	10	16233	9514	8	83	0	0	135	89
0	11	16246	9514	7	90	0	0	135	87
0	12	16256	9514	8	98	0	0	135	84
0	13	16264	9514	7	105	0	0	135	83
0	14	16272	9514	8	113	0	0	131	81
0	15	16279	9514	7	120	0	0	132	78
0	16	16286	9514	8	128	0	0	129	76
0	17	16293	9514	7	135	0	0	130	75
0	18	16303	9517	8	143	0	0	130	72
0	19	16311	9525	7	150	0	0	129	70
0	20	16324	9531	8	158	0	0	128	68
0	21	16340	9543	7	165	0	0	130	66
0	22	16361	9552	8	173	0	0	129	64
0	23	16386	9561	7	180	0	0	129	61
0	24	16415	9574	8	188	0	0	129	59
0	25	16442	9580	8	196	0	0	130	56
0	26	16474	9585	7	203	0	0	130	54
0	27	16497	9589	8	211	0	0	130	52
0	28	16522	9590	7	218	0	0	129	50
0	29	16552	9591	8	226	0	0	128	48
0	30	16583	9592	7	233	0	0	128	47
0	31	16613	9594	8	241	0	0	128	45
0	32	16639	9597	7	248	0	0	127	45
0	33	16661	9602	8	256	0	0	126	44
0	34	16678	9610	7	263	0	0	125	43
0	35	16693	9624	8	271	0	0	124	44
0	36	16707	9637	7	278	0	0	123	44
0	37	16720	9653	8	286	0	0	123	44
0	38	16733	9672	7	293	0	0	121	44
0	39	16743	9692	8	301	0	0	121	46
0	40	16749	9712	7	308	0	0	122	46
0	41	16749	9712	16	324	1	78	122	47
0	42	16757	9749	7	331	1	112	123	48
0	43	16760	9765	8	339	1	169	123	49
0	44	16763	9778	7	346	1	219	123	49
0	45	16765	9789	8	354	1	263	124	50
0	46	16766	9796	7	361	1	309	124	50
0	47	16768	9803	8	369	1	349	122	50
0	48	16768	9810	7	376	1	384	122	50
0	49	16770	9816	8	384	1	412	122	50
0	50	16770	9822	7	391	1	436	122	50
0	51	16770	9828	8	399	1	455	122	50
0	52	16771	9835	7	406	1	471	122	50
0	53	16772	9842	8	414	1	487	123	51
0	54	16773	9850	7	421	1	501	123	51
0	55	16773	9861	8	429	1	514	123	51
0	56	16773	9872	7	436	1	529	123	51
0	57	16773	9885	8	444	1	544	123	51
0	58	16771	9900	7	451	1	556	123	51
0	59	16760	9914	8	459	1	566	123	51
0	60	16745	9932	7	466	1	574	123	51
0	61	16723	9951	8	474	1	581	123	51
0	62	16697	9971	7	481	1	590	123	51
0	63	16664	9992	8	489	1	593	123	51
0	64	16622	10009	7	496	1	595	123	51
0	65	16571	10022	8	504	1	595	123	51
0	66	16509	10028	7	511	1	593	123	51
0	67	16435	10028	8	519	1	592	124	52
0	68	16345	10021	8	527	1	590	126	51
0	69	16241	9992	7	534	1	589	126	51
0	70	16128	9949	8	542	1	585	126	51
0	71	16010	9898	7	549	1	581	125	51
0	72	15901	9838	8	557	1	578	125	51
0	73	15800	9770	7	564	1	577	125	51
0	74	15709	9691	8	572	1	574	125	51
0	75	15624	9595	7	579	1	572	125	51
0	76	15544	9483	8	587	1	570	125	51
0	77	15470	9358	7	594	1	570	125	51
0	78	15407	9223	8	602	1	570	125	51
0	79	15357	9078	7	609	1	570	124	50
0	80	15320	8925	8	617	1	572	122	50
0	81	15299	8770	7	624	1	575	122	50
0	82	15289	8612	8	632	1	578	122	50
0	83	15289	8461	7	639	1	577	120	50
0	84	15293	8320	8	647	1	575	120	50
0	85	15321	8187	7	654	1	573	119	50
0	86	15361	8067	8	662	1	571	119	50
0	87	15410	7962	7	669	1	570	119	50
0	88	15465	7877	8	677	1	571	118	51
0	89	15525	7813	7	684	1	568	118	51
0	90	15589	7769	8	692	1	567	117	51
0	91	15660	7747	7	699	1	567	117	51
0	92	15737	7747	8	707	1	566	117	51
0	93	15820	7761	7	714	1	567	117	52
0	94	15906	7821	8	722	1	566	117	52
0	95	15994	7914	7	729	1	565	117	52
0	96	16082	8037	8	737	1	561	118	53
0	97	16165	8182	7	744	1	559	118	53
0	98	16242	8346	8	752	1	556	118	53
0	99	16308	8533	8	760	1	550	119	53
0	100	16364	8741	7	767	1	542	119	53
0	101	16414	8968	8	775	1	527	119	53
0	102	16461	9216	7	782	1	512	119	53
0	103	16507	9458	8	790	1	499	119	53
0	104	16555	9682	7	797	1	491	121	53
0	105	16600	9875	8	805	1	491	121	53
0	106	16641	10025	7	812	1	493	122	53
0	107	16672	10138	8	820	1	498	122	53
0	108	16692	10221	7	827	1	498	123	52
0	109	16702	10282	8	835	1	502	123	51
0	110	16704	10320	7	842	1	507	123	51
0	111	16704	10341	8	850	1	515	125	51
0	112	16704	10348	7	857	1	523	125	51
0	113	16704	10348	8	865	1	524	125	51
0	114	16699	10337	7	872	1	522	126	50
0	115	16689	10297	8	880	1	521	126	50
0	116	16676	10231	7	887	1	522	126	50
0	117	16664	10138	8	895	1	523	126	50
0	118	16653	10017	7	902	1	526	126	50
0	119	16648	9871	8	910	1	524	126	50
0	120	16647	9708	7	917	1	528	126	50
0	121	16647	9538	8	925	1	532	126	50
0	122	16647	9366	7	932	1	544	126	50
0	123	16648	9200	8	940	1	556	126	50
0	124	16654	9037	7	947	1	567	125	51
0	125	16660	8869	8	955	1	576	125	51
0	126	16667	8702	7	962	1	583	125	51
0	127	16677	8534	8	970	1	588	123	51
0	128	16691	8368	7	977	1	584	123	51
0	129	16712	8208	8	985	1	582	122	51
0	130	16738	8058	8	993	1	581	122	51
