Identification :	anonyme	 Operateur : 	Régis	 Id tablette : 	612374849	 Id Curseur : 	 ??? 
2019-02-20	 11-46-25
Fichier origine : 	C:\Users\utilisateur\Desktop\lettre a ecriture normale
Nb segments :	1
Seg	 Num	 X /100 mm	 Y /100 mm	 Interv ms	 Time ms	 Tip 	P	 Az 	 Al
0	0	14725	9733	7	7	0	0	315	86
0	1	14725	9733	8	15	0	0	315	86
0	2	14735	9720	7	22	0	0	315	86
0	3	14759	9695	8	30	0	0	315	86
0	4	14799	9694	7	37	0	0	315	86
0	5	14849	9691	8	45	0	0	315	86
0	6	14885	9667	7	52	0	0	315	86
0	7	14926	9667	8	60	0	0	315	86
0	8	14968	9642	7	67	0	0	304	86
0	9	15010	9642	8	75	0	0	315	87
0	10	15055	9642	7	82	0	0	297	88
0	11	15098	9637	8	90	0	0	270	89
0	12	15143	9624	7	97	0	0	0	90
0	13	15189	9605	8	105	0	0	135	89
0	14	15234	9597	7	112	0	0	146	86
0	15	15279	9591	8	120	0	0	141	84
0	16	15323	9586	7	127	0	0	139	81
0	17	15366	9584	8	135	0	0	138	78
0	18	15409	9580	7	142	0	0	138	75
0	19	15450	9579	8	150	0	0	137	73
0	20	15488	9579	7	157	0	0	137	69
0	21	15525	9579	8	165	0	0	137	66
0	22	15558	9579	7	172	0	0	137	63
0	23	15590	9579	8	180	0	0	136	61
0	24	15620	9579	8	188	0	0	135	58
0	25	15645	9579	7	195	0	0	135	55
0	26	15664	9579	8	203	0	0	135	53
0	27	15680	9579	7	210	0	0	133	51
0	28	15685	9575	8	218	0	0	133	48
0	29	15700	9569	7	225	0	0	132	47
0	30	15704	9556	8	233	0	0	131	45
0	31	15708	9537	7	240	0	0	130	43
0	32	15712	9515	8	248	0	0	128	42
0	33	15726	9492	7	255	0	0	126	41
0	34	15731	9489	8	263	0	0	125	40
0	35	15746	9488	7	270	0	0	124	40
0	36	15765	9487	8	278	0	0	122	39
0	37	15786	9483	7	285	0	0	122	39
0	38	15802	9482	8	293	0	0	120	39
0	39	15818	9482	7	300	0	0	120	39
0	40	15834	9482	8	308	0	0	120	39
0	41	15849	9482	7	315	0	0	120	40
0	42	15863	9482	8	323	0	0	121	41
0	43	15876	9482	7	330	0	0	122	41
0	44	15888	9482	8	338	0	0	122	42
0	45	15902	9482	7	345	0	0	122	43
0	46	15916	9482	8	353	0	0	123	44
0	47	15928	9485	7	360	0	0	122	45
0	48	15933	9490	8	368	0	0	123	46
0	49	15933	9496	7	375	0	0	123	47
0	50	15933	9496	16	391	1	38	123	47
0	51	15933	9510	8	399	1	50	123	48
0	52	15933	9520	7	406	1	98	123	48
0	53	15933	9531	8	414	1	157	123	49
0	54	15933	9544	7	421	1	195	123	49
0	55	15933	9557	8	429	1	230	124	50
0	56	15933	9572	7	436	1	267	124	50
0	57	15933	9588	8	444	1	297	124	50
0	58	15935	9607	7	451	1	330	122	50
0	59	15938	9628	8	459	1	351	122	50
0	60	15939	9648	7	466	1	370	122	50
0	61	15939	9670	8	474	1	388	122	50
0	62	15939	9692	7	481	1	403	124	50
0	63	15939	9714	8	489	1	416	124	50
0	64	15939	9738	7	496	1	429	124	50
0	65	15930	9763	8	504	1	440	124	50
0	66	15915	9791	7	511	1	451	124	50
0	67	15895	9818	8	519	1	458	124	50
0	68	15869	9848	7	526	1	468	124	50
0	69	15835	9876	8	534	1	470	124	50
0	70	15794	9903	7	541	1	477	124	50
0	71	15744	9926	8	549	1	481	124	50
0	72	15686	9943	7	556	1	482	124	50
0	73	15618	9952	8	564	1	484	124	50
0	74	15539	9952	7	571	1	486	124	50
0	75	15448	9951	8	579	1	486	124	50
0	76	15348	9924	8	587	1	486	124	50
0	77	15242	9880	7	594	1	487	124	50
0	78	15137	9817	8	602	1	485	123	49
0	79	15039	9735	7	609	1	483	123	49
0	80	14952	9629	8	617	1	485	123	49
0	81	14878	9505	7	624	1	486	123	49
0	82	14819	9368	8	632	1	486	123	49
